temperature,magnetization
0.25,1.0
0.45,1.0
0.65,0.999984
0.8500000000000001,0.9997999999999999
1.05,0.9990359999999999
1.25,0.9963839999999999
1.4500000000000002,0.988888
1.6500000000000001,0.975692
1.85,0.948828
2.05,0.8934439999999999
2.25,0.7502599999999999
2.45,0.598436
2.6500000000000004,0.42702799999999996
2.85,0.342448
3.0500000000000003,0.26624
3.25,0.22830799999999998
3.45,0.197792
3.6500000000000004,0.184192
3.85,0.18004
4.050000000000001,0.16719599999999998
4.25,0.158236
