temperature,magnetization
0.25,1.0
0.45,1.0
0.65,1.0
0.8500000000000001,0.9998875
1.05,0.9990687500000001
1.25,0.996225
1.4500000000000002,0.9894875000000001
1.6500000000000001,0.9756125
1.85,0.9495187500000001
2.05,0.90004375
2.25,0.7912125
2.45,0.64590625
2.6500000000000004,0.4939875
2.85,0.38240625
3.0500000000000003,0.34523750000000003
3.25,0.29176875
3.45,0.25761875
3.6500000000000004,0.23539375
3.85,0.2103125
4.050000000000001,0.20421250000000002
4.25,0.19423125000000002
